student_id,lecture_1_date,lecture_1_attendance,lecture_1_quiz,lecture_1_report,lecture_2_date,lecture_2_attendance,lecture_2_quiz,lecture_2_report,lecture_3_date,lecture_3_attendance,lecture_3_quiz,lecture_3_report,lecture_4_date,lecture_4_attendance,lecture_4_quiz,lecture_4_report,lecture_5_date,lecture_5_attendance,lecture_5_quiz,lecture_5_report,lecture_6_date,lecture_6_attendance,lecture_6_quiz,lecture_6_report,lecture_7_date,lecture_7_attendance,lecture_7_quiz,lecture_7_report,lecture_8_date,lecture_8_attendance,lecture_8_quiz,lecture_8_report,lecture_9_date,lecture_9_attendance,lecture_9_quiz,lecture_9_report,lecture_10_date,lecture_10_attendance,lecture_10_quiz,lecture_10_report,lecture_11_date,lecture_11_attendance,lecture_11_quiz,lecture_11_report,lecture_12_date,lecture_12_attendance,lecture_12_quiz,lecture_12_report,lecture_13_date,lecture_13_attendance,lecture_13_quiz,lecture_13_report,lecture_14_date,lecture_14_attendance,lecture_14_quiz,lecture_14_report,lecture_15_date,lecture_15_attendance,lecture_15_quiz,lecture_15_report,lecture_16_date,lecture_16_attendance,lecture_16_quiz,lecture_16_report,lecture_17_date,lecture_17_attendance,lecture_17_quiz,lecture_17_report,lab_session_1_date,lab_session_1_attendance,lab_session_2_date,lab_session_2_attendance,lab_session_3_date,lab_session_3_attendance,lab_session_4_date,lab_session_4_attendance,lab_session_5_date,lab_session_5_attendance,lab_session_6_date,lab_session_6_attendance,lab_session_7_date,lab_session_7_attendance,lab_session_8_date,lab_session_8_attendance,lab_session_9_date,lab_session_9_attendance,lab_session_10_date,lab_session_10_attendance,lab_session_11_date,lab_session_11_attendance,lab_session_12_date,lab_session_12_attendance,lab_session_13_date,lab_session_13_attendance,lab_session_14_date,lab_session_14_attendance,lab_session_15_date,lab_session_15_attendance,lab_session_16_date,lab_session_16_attendance,lab_session_17_date,lab_session_17_attendance,lab_1_num,lab_1_score,lab_1_deadline,lab_2_num,lab_2_score,lab_2_deadline,lab_3_num,lab_3_score,lab_3_deadline,lab_4_num,lab_4_score,lab_4_deadline,lab_5_num,lab_5_score,lab_5_deadline,lab_6_num,lab_6_score,lab_6_deadline,lab_7_num,lab_7_score,lab_7_deadline,lab_8_num,lab_8_score,lab_8_deadline,lab_9_num,lab_9_score,lab_9_deadline,lab_10_num,lab_10_score,lab_10_deadline,lab_11_num,lab_11_score,lab_11_deadline,project
1,02.09.26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,02.09.26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,02.09.26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,02.09.26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,02.09.26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,02.09.26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,02.09.26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,02.09.26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,02.09.26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,02.09.26,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
